elevasi;volume;area;;;;;;;;;;
229.58;5.527.034.86;4.665.372.78;;;;;;;;;;
229.59;5.573.822.30;4.692.116.51;;;;;;;;;;
229.60;5.620.877.19;4.718.860.24;;;;;;;;;;
229.61;5.668.199.51;4.745.603.96;;;;;;;;;;
229.62;5.715.789.27;4.772.347.69;;;;;;;;;;
229.63;5.763.646.46;4.799.091.42;;;;;;;;;;
229.64;5.811.771.09;4.825.835.15;;;;;;;;;;
229.65;5.860.163.16;4.852.578.88;;;;;;;;;;
229.66;5.908.822.67;4.879.322.60;;;;;;;;;;
229.67;5.957.749.62;4.906.066.33;;;;;;;;;;
229.68;6.006.944.00;4.932.810.06;;;;;;;;;;
229.69;6.056.405.82;4.959.553.79;;;;;;;;;;
229.70;6.106.135.07;4.986.297.52;;;;;;;;;;
229.71;6.156.131.77;5.013.041.25;;;;;;;;;;
229.72;6.206.395.90;5.039.784.97;;;;;;;;;;
229.73;6.256.927.47;5.066.528.70;;;;;;;;;;
229.74;6.307.726.47;5.093.272.43;;;;;;;;;;
229.75;6.358.792.92;5.120.016.16;;;;;;;;;;
229.76;6.410.126.80;5.146.759.89;;;;;;;;;;
229.77;6.461.728.11;5.173.503.61;;;;;;;;;;
229.78;6.513.596.87;5.200.247.34;;;;;;;;;;
229.79;6.565.733.06;5.226.991.07;;;;;;;;;;
229.80;6.618.136.69;5.253.734.80;;;;;;;;;;
229.81;6.670.807.76;5.280.478.53;;;;;;;;;;
229.82;6.723.746.26;5.307.222.25;;;;;;;;;;
229.83;6.776.952.20;5.333.965.98;;;;;;;;;;
229.84;6.830.425.58;5.360.709.71;;;;;;;;;;
229.85;6.884.166.40;5.387.453.44;;;;;;;;;;
229.86;6.938.174.65;5.414.197.17;;;;;;;;;;
229.87;6.992.450.34;5.440.940.90;;;;;;;;;;
229.88;7.046.993.47;5.467.684.62;;;;;;;;;;
229.89;7.101.804.03;5.494.428.35;;;;;;;;;;
229.90;7.156.882.03;5.521.172.08;;;;;;;;;;
229.91;7.212.227.47;5.547.915.81;;;;;;;;;;
229.92;7.267.840.35;5.574.659.54;;;;;;;;;;
229.93;7.323.720.66;5.601.403.26;;;;;;;;;;
229.94;7.379.868.42;5.628.146.99;;;;;;;;;;
229.95;7.436.283.60;5.654.890.72;;;;;;;;;;
229.96;7.492.966.23;5.681.634.45;;;;;;;;;;
229.97;7.549.916.29;5.708.378.18;;;;;;;;;;
229.98;7.607.133.79;5.735.121.90;;;;;;;;;;
229.99;7.664.618.73;5.761.865.63;;;;;;;;;;
230.00;7.722.371.11;5.788.609.36;;;;;;;;;;
230.50;10.825.221.62;6.622.792.71;;;;;;;;;;
230.49;10.759.077.12;6.606.109.04;;;;;;;;;;
230.48;10.693.099.44;6.589.425.38;;;;;;;;;;
230.47;10.627.288.61;6.572.741.71;;;;;;;;;;
230.46;10.561.644.61;6.556.058.04;;;;;;;;;;
230.45;10.496.167.45;6.539.374.38;;;;;;;;;;
230.44;10.430.857.12;6.522.690.71;;;;;;;;;;
230.43;10.365.713.63;6.506.007.04;;;;;;;;;;
230.42;10.300.736.98;6.489.323.38;;;;;;;;;;
230.41;10.235.927.17;6.472.639.71;;;;;;;;;;
230.40;10.171.284.19;6.455.956.04;;;;;;;;;;
230.39;10.106.808.04;6.439.272.37;;;;;;;;;;
230.38;10.042.498.74;6.422.588.71;;;;;;;;;;
230.37;9.978.356.27;6.405.905.04;;;;;;;;;;
230.36;9.914.380.64;6.389.221.37;;;;;;;;;;
230.35;9.850.571.84;6.372.537.71;;;;;;;;;;
230.34;9.786.929.88;6.355.854.04;;;;;;;;;;
230.33;9.723.454.76;6.339.170.37;;;;;;;;;;
230.32;9.660.146.48;6.322.486.71;;;;;;;;;;
230.31;9.597.005.03;6.305.803.04;;;;;;;;;;
230.30;9.534.030.42;6.289.119.37;;;;;;;;;;
230.29;9.471.222.64;6.272.435.70;;;;;;;;;;
230.28;9.408.581.70;6.255.752.04;;;;;;;;;;
230.27;9.346.107.60;6.239.068.37;;;;;;;;;;
230.26;9.283.800.33;6.222.384.70;;;;;;;;;;
230.25;9.221.659.91;6.205.701.04;;;;;;;;;;
230.24;9.159.686.31;6.189.017.37;;;;;;;;;;
230.23;9.097.879.56;6.172.333.70;;;;;;;;;;
230.22;9.036.239.64;6.155.650.04;;;;;;;;;;
230.21;8.974.766.56;6.138.966.37;;;;;;;;;;
230.20;8.913.460.31;6.122.282.70;;;;;;;;;;
230.19;8.852.320.90;6.105.599.03;;;;;;;;;;
230.18;8.791.348.33;6.088.915.37;;;;;;;;;;
230.17;8.730.542.60;6.072.231.70;;;;;;;;;;
230.16;8.669.903.70;6.055.548.03;;;;;;;;;;
230.15;8.609.431.64;6.038.864.37;;;;;;;;;;
230.14;8.549.126.41;6.022.180.70;;;;;;;;;;
230.13;8.488.988.02;6.005.497.03;;;;;;;;;;
230.12;8.429.016.47;5.988.813.37;;;;;;;;;;
230.11;8.369.211.75;5.972.129.70;;;;;;;;;;
230.10;8.309.573.88;5.955.446.03;;;;;;;;;;
230.09;8.250.102.83;5.938.762.36;;;;;;;;;;
230.08;8.190.798.63;5.922.078.70;;;;;;;;;;
230.07;8.131.661.26;5.905.395.03;;;;;;;;;;
230.06;8.072.690.73;5.888.711.36;;;;;;;;;;
230.05;8.013.887.03;5.872.027.70;;;;;;;;;;
230.04;7.955.250.17;5.855.344.03;;;;;;;;;;
230.03;7.896.780.15;5.838.660.36;;;;;;;;;;
230.02;7.838.476.97;5.821.976.69;;;;;;;;;;
230.01;7.780.340.62;5.805.293.03;;;;;;;;;;
230.51;10.891.532.97;6.639.476.38;;;;;;;;;;
230.52;10.958.011.15;6.656.160.05;;;;;;;;;;
230.53;11.024.656.17;6.672.843.71;;;;;;;;;;
230.54;11.091.468.03;6.689.527.38;;;;;;;;;;
230.55;11.158.446.72;6.706.211.05;;;;;;;;;;
230.56;11.225.592.25;6.722.894.71;;;;;;;;;;
230.57;11.292.904.61;6.739.578.38;;;;;;;;;;
230.58;11.360.383.82;6.756.262.05;;;;;;;;;;
230.59;11.428.029.85;6.772.945.72;;;;;;;;;;
230.60;11.495.842.73;6.789.629.38;;;;;;;;;;
230.61;11.563.822.44;6.806.313.05;;;;;;;;;;
230.62;11.631.968.99;6.822.996.72;;;;;;;;;;
230.63;11.700.282.38;6.839.680.38;;;;;;;;;;
230.64;11.768.762.60;6.856.364.05;;;;;;;;;;
230.65;11.837.409.66;6.873.047.72;;;;;;;;;;
230.66;11.906.223.55;6.889.731.38;;;;;;;;;;
230.67;11.975.204.28;6.906.415.05;;;;;;;;;;
230.68;12.044.351.85;6.923.098.72;;;;;;;;;;
230.69;12.113.666.26;6.939.782.39;;;;;;;;;;
230.70;12.183.147.50;6.956.466.05;;;;;;;;;;
230.71;12.252.795.58;6.973.149.72;;;;;;;;;;
230.72;12.322.610.50;6.989.833.39;;;;;;;;;;
230.73;12.392.592.25;7.006.517.05;;;;;;;;;;
230.74;12.462.740.84;7.023.200.72;;;;;;;;;;
230.75;12.533.056.26;7.039.884.39;;;;;;;;;;
230.76;12.603.538.52;7.056.568.05;;;;;;;;;;
230.77;12.674.187.62;7.073.251.72;;;;;;;;;;
230.78;12.745.003.56;7.089.935.39;;;;;;;;;;
230.79;12.815.986.33;7.106.619.06;;;;;;;;;;
230.80;12.887.135.94;7.123.302.72;;;;;;;;;;
230.81;12.958.452.39;7.139.986.39;;;;;;;;;;
230.82;13.029.935.67;7.156.670.06;;;;;;;;;;
230.83;13.101.585.79;7.173.353.72;;;;;;;;;;
230.84;13.173.402.74;7.190.037.39;;;;;;;;;;
230.85;13.245.386.53;7.206.721.06;;;;;;;;;;
230.86;13.317.537.16;7.223.404.72;;;;;;;;;;
230.87;13.389.854.63;7.240.088.39;;;;;;;;;;
230.88;13.462.338.93;7.256.772.06;;;;;;;;;;
230.89;13.534.990.07;7.273.455.73;;;;;;;;;;
230.90;13.607.808.05;7.290.139.39;;;;;;;;;;
230.91;13.680.792.86;7.306.823.06;;;;;;;;;;
230.92;13.753.944.51;7.323.506.73;;;;;;;;;;
230.93;13.827.262.99;7.340.190.39;;;;;;;;;;
230.94;13.900.748.31;7.356.874.06;;;;;;;;;;
230.95;13.974.400.47;7.373.557.73;;;;;;;;;;
230.96;14.048.219.47;7.390.241.39;;;;;;;;;;
230.97;14.122.205.30;7.406.925.06;;;;;;;;;;
230.98;14.196.357.97;7.423.608.73;;;;;;;;;;
230.99;14.270.677.48;7.440.292.40;;;;;;;;;;
231.00;14.345.163.82;7.456.976.06;;;;;;;;;;
231.01;14.419.872.37;7.484.733.78;;;;;;;;;;
231.02;14.494.858.49;7.512.491.50;;;;;;;;;;
231.03;14.570.122.20;7.540.249.22;;;;;;;;;;
231.04;14.645.663.48;7.568.006.94;;;;;;;;;;
231.05;14.721.482.34;7.595.764.66;;;;;;;;;;
231.06;14.797.578.77;7.623.522.38;;;;;;;;;;
231.07;14.873.952.78;7.651.280.09;;;;;;;;;;
231.08;14.950.604.37;7.679.037.81;;;;;;;;;;
231.09;15.027.533.54;7.706.795.53;;;;;;;;;;
231.10;15.104.740.28;7.734.553.25;;;;;;;;;;
231.11;15.182.224.61;7.762.310.97;;;;;;;;;;
231.12;15.259.986.50;7.790.068.69;;;;;;;;;;
231.13;15.338.025.98;7.817.826.41;;;;;;;;;;
231.14;15.416.343.03;7.845.584.13;;;;;;;;;;
231.15;15.494.937.66;7.873.341.84;;;;;;;;;;
231.16;15.573.809.87;7.901.099.56;;;;;;;;;;
231.17;15.652.959.65;7.928.857.28;;;;;;;;;;
231.18;15.732.387.01;7.956.615.00;;;;;;;;;;
231.19;15.812.091.95;7.984.372.72;;;;;;;;;;
231.20;15.892.074.47;8.012.130.44;;;;;;;;;;
231.21;15.972.334.56;8.039.888.16;;;;;;;;;;
231.22;16.052.872.23;8.067.645.88;;;;;;;;;;
231.23;16.133.687.48;8.095.403.59;;;;;;;;;;
231.24;16.214.780.30;8.123.161.31;;;;;;;;;;
231.25;16.296.150.71;8.150.919.03;;;;;;;;;;
231.26;16.377.798.68;8.178.676.75;;;;;;;;;;
231.27;16.459.724.24;8.206.434.47;;;;;;;;;;
231.28;16.541.927.37;8.234.192.19;;;;;;;;;;
231.29;16.624.408.08;8.261.949.91;;;;;;;;;;
231.30;16.707.166.37;8.289.707.63;;;;;;;;;;
231.31;16.790.202.24;8.317.465.34;;;;;;;;;;
231.32;16.873.515.68;8.345.223.06;;;;;;;;;;
231.33;16.957.106.70;8.372.980.78;;;;;;;;;;
231.34;17.040.975.29;8.400.738.50;;;;;;;;;;
231.35;17.125.121.47;8.428.496.22;;;;;;;;;;
231.36;17.209.545.22;8.456.253.94;;;;;;;;;;
231.37;17.294.246.55;8.484.011.66;;;;;;;;;;
231.38;17.379.225.45;8.511.769.38;;;;;;;;;;
231.39;17.464.481.93;8.539.527.09;;;;;;;;;;
231.40;17.550.015.99;8.567.284.81;;;;;;;;;;
231.41;17.635.827.63;8.595.042.53;;;;;;;;;;
231.42;17.721.916.84;8.622.800.25;;;;;;;;;;
231.43;17.808.283.64;8.650.557.97;;;;;;;;;;
231.44;17.894.928.00;8.678.315.69;;;;;;;;;;
231.45;17.981.849.95;8.706.073.41;;;;;;;;;;
231.46;18.069.049.47;8.733.831.13;;;;;;;;;;
231.47;18.156.526.57;8.761.588.84;;;;;;;;;;
231.48;18.244.281.25;8.789.346.56;;;;;;;;;;
231.49;18.332.313.50;8.817.104.28;;;;;;;;;;
231.50;18.420.623.33;8.844.862.00;;;;;;;;;;
;;;;;;;;;;;;
