elevasi;volume;area;;;;;;;;;;
225.72;157.242.45;138.841.99;;;;;;;;;;
225.73;158.631.53;138.973.52;;;;;;;;;;
225.74;160.021.92;139.105.05;;;;;;;;;;
225.75;161.413.63;139.236.59;;;;;;;;;;
225.76;162.806.65;139.368.12;;;;;;;;;;
225.77;164.200.99;139.499.65;;;;;;;;;;
225.78;165.596.65;139.631.18;;;;;;;;;;
225.79;166.993.62;139.762.72;;;;;;;;;;
225.80;168.391.90;139.894.25;;;;;;;;;;
225.81;169.791.50;140.025.78;;;;;;;;;;
225.82;171.192.42;140.157.31;;;;;;;;;;
225.83;172.594.65;140.288.84;;;;;;;;;;
225.84;173.998.19;140.420.38;;;;;;;;;;
225.85;175.403.06;140.551.91;;;;;;;;;;
225.86;176.809.23;140.683.44;;;;;;;;;;
225.87;178.216.72;140.814.97;;;;;;;;;;
225.88;179.625.53;140.946.51;;;;;;;;;;
225.89;181.035.65;141.078.04;;;;;;;;;;
225.90;182.447.09;141.209.57;;;;;;;;;;
225.91;183.859.85;141.341.10;;;;;;;;;;
225.92;185.273.91;141.472.63;;;;;;;;;;
225.93;186.689.30;141.604.17;;;;;;;;;;
225.94;188.106.00;141.735.70;;;;;;;;;;
225.95;189.524.01;141.867.23;;;;;;;;;;
225.96;190.943.34;141.998.76;;;;;;;;;;
225.97;192.363.99;142.130.29;;;;;;;;;;
225.98;193.785.95;142.261.83;;;;;;;;;;
225.99;195.209.22;142.393.36;;;;;;;;;;
226.00;196.633.82;142.524.89;;;;;;;;;;
226.01;198.062.17;143.145.09;;;;;;;;;;
226.02;199.496.72;143.765.29;;;;;;;;;;
226.03;200.937.47;144.385.49;;;;;;;;;;
226.04;202.384.43;145.005.68;;;;;;;;;;
226.05;203.837.58;145.625.88;;;;;;;;;;
226.06;205.296.94;146.246.08;;;;;;;;;;
226.07;206.762.51;146.866.28;;;;;;;;;;
226.08;208.234.27;147.486.48;;;;;;;;;;
226.09;209.712.24;148.106.68;;;;;;;;;;
226.10;211.196.40;148.726.87;;;;;;;;;;
226.11;212.686.77;149.347.07;;;;;;;;;;
226.12;214.183.35;149.967.27;;;;;;;;;;
226.13;215.686.12;150.587.47;;;;;;;;;;
226.14;217.195.09;151.207.67;;;;;;;;;;
226.15;218.710.27;151.827.86;;;;;;;;;;
226.16;220.231.65;152.448.06;;;;;;;;;;
226.17;221.759.23;153.068.26;;;;;;;;;;
226.18;223.293.02;153.688.46;;;;;;;;;;
226.19;224.833.00;154.308.66;;;;;;;;;;
226.20;226.379.19;154.928.86;;;;;;;;;;
226.21;227.931.58;155.549.05;;;;;;;;;;
226.22;229.490.17;156.169.25;;;;;;;;;;
226.23;231.054.96;156.789.45;;;;;;;;;;
226.24;232.625.96;157.409.65;;;;;;;;;;
226.25;234.203.16;158.029.85;;;;;;;;;;
226.26;235.786.56;158.650.05;;;;;;;;;;
226.27;237.376.16;159.270.24;;;;;;;;;;
226.28;238.971.96;159.890.44;;;;;;;;;;
226.29;240.573.97;160.510.64;;;;;;;;;;
226.30;242.182.17;161.130.84;;;;;;;;;;
226.31;243.796.58;161.751.04;;;;;;;;;;
226.32;245.417.20;162.371.23;;;;;;;;;;
226.33;247.044.01;162.991.43;;;;;;;;;;
226.34;248.677.02;163.611.63;;;;;;;;;;
226.35;250.316.24;164.231.83;;;;;;;;;;
226.36;251.961.66;164.852.03;;;;;;;;;;
226.37;253.613.28;165.472.23;;;;;;;;;;
226.38;255.271.11;166.092.42;;;;;;;;;;
226.39;256.935.13;166.712.62;;;;;;;;;;
226.40;258.605.36;167.332.82;;;;;;;;;;
226.41;260.281.79;167.953.02;;;;;;;;;;
226.42;261.964.42;168.573.22;;;;;;;;;;
226.43;263.653.25;169.193.41;;;;;;;;;;
226.44;265.348.29;169.813.61;;;;;;;;;;
226.45;267.049.52;170.433.81;;;;;;;;;;
226.46;268.756.96;171.054.01;;;;;;;;;;
226.47;270.470.60;171.674.21;;;;;;;;;;
226.48;272.190.45;172.294.41;;;;;;;;;;
226.49;273.916.49;172.914.60;;;;;;;;;;
226.50;275.648.74;173.534.80;;;;;;;;;;
226.51;277.387.19;174.155.00;;;;;;;;;;
226.52;279.131.84;174.775.20;;;;;;;;;;
226.53;280.882.69;175.395.40;;;;;;;;;;
226.54;282.639.75;176.015.60;;;;;;;;;;
226.55;284.403.00;176.635.79;;;;;;;;;;
226.56;286.172.46;177.255.99;;;;;;;;;;
226.57;287.948.12;177.876.19;;;;;;;;;;
226.58;289.729.99;178.496.39;;;;;;;;;;
226.59;291.518.05;179.116.59;;;;;;;;;;
226.60;293.312.32;179.736.78;;;;;;;;;;
226.61;295.112.79;180.356.98;;;;;;;;;;
226.62;296.919.46;180.977.18;;;;;;;;;;
226.63;298.732.33;181.597.38;;;;;;;;;;
226.64;300.551.41;182.217.58;;;;;;;;;;
226.65;302.376.68;182.837.78;;;;;;;;;;
226.66;304.208.16;183.457.97;;;;;;;;;;
226.67;306.045.84;184.078.17;;;;;;;;;;
226.68;307.889.72;184.698.37;;;;;;;;;;
226.69;309.739.81;185.318.57;;;;;;;;;;
226.70;311.596.10;185.938.77;;;;;;;;;;
226.71;313.458.58;186.558.97;;;;;;;;;;
226.72;315.327.28;187.179.16;;;;;;;;;;
226.73;317.202.17;187.799.36;;;;;;;;;;
226.74;319.083.26;188.419.56;;;;;;;;;;
226.75;320.970.56;189.039.76;;;;;;;;;;
226.76;322.864.06;189.659.96;;;;;;;;;;
226.77;324.763.76;190.280.15;;;;;;;;;;
226.78;326.669.66;190.900.35;;;;;;;;;;
226.79;328.581.77;191.520.55;;;;;;;;;;
226.80;330.500.07;192.140.75;;;;;;;;;;
226.81;332.424.58;192.760.95;;;;;;;;;;
226.82;334.355.29;193.381.15;;;;;;;;;;
226.83;336.292.20;194.001.34;;;;;;;;;;
226.84;338.235.32;194.621.54;;;;;;;;;;
226.85;340.184.63;195.241.74;;;;;;;;;;
226.86;342.140.15;195.861.94;;;;;;;;;;
226.87;344.101.87;196.482.14;;;;;;;;;;
226.88;346.069.79;197.102.33;;;;;;;;;;
226.89;348.043.92;197.722.53;;;;;;;;;;
226.90;350.024.25;198.342.73;;;;;;;;;;
226.91;352.010.77;198.962.93;;;;;;;;;;
226.92;354.003.50;199.583.13;;;;;;;;;;
226.93;356.002.44;200.203.33;;;;;;;;;;
226.94;358.007.57;200.823.52;;;;;;;;;;
226.95;360.018.91;201.443.72;;;;;;;;;;
226.96;362.036.45;202.063.92;;;;;;;;;;
226.97;364.060.19;202.684.12;;;;;;;;;;
226.98;366.090.13;203.304.32;;;;;;;;;;
226.99;368.126.27;203.924.52;;;;;;;;;;
227.00;370.168.62;204.544.71;;;;;;;;;;
227.01;372.265.91;214.913.16;;;;;;;;;;
227.02;374.466.88;225.281.60;;;;;;;;;;
227.03;376.771.54;235.650.04;;;;;;;;;;
227.04;379.179.88;246.018.48;;;;;;;;;;
227.05;381.691.91;256.386.92;;;;;;;;;;
227.06;384.307.62;266.755.36;;;;;;;;;;
227.07;387.027.02;277.123.81;;;;;;;;;;
227.08;389.850.10;287.492.25;;;;;;;;;;
227.09;392.776.86;297.860.69;;;;;;;;;;
227.10;395.807.31;308.229.13;;;;;;;;;;
227.11;398.941.44;318.597.57;;;;;;;;;;
227.12;402.179.26;328.966.02;;;;;;;;;;
227.13;405.520.76;339.334.46;;;;;;;;;;
227.14;408.965.95;349.702.90;;;;;;;;;;
227.15;412.514.82;360.071.34;;;;;;;;;;
227.16;416.167.38;370.439.78;;;;;;;;;;
227.17;419.923.62;380.808.23;;;;;;;;;;
227.18;423.783.54;391.176.67;;;;;;;;;;
227.19;427.747.15;401.545.11;;;;;;;;;;
227.20;431.814.44;411.913.55;;;;;;;;;;
227.21;435.985.42;422.281.99;;;;;;;;;;
227.22;440.260.08;432.650.44;;;;;;;;;;
227.23;444.638.43;443.018.88;;;;;;;;;;
227.24;449.120.46;453.387.32;;;;;;;;;;
227.25;453.706.18;463.755.76;;;;;;;;;;
227.26;458.395.58;474.124.20;;;;;;;;;;
227.27;463.188.66;484.492.64;;;;;;;;;;
227.28;468.085.43;494.861.09;;;;;;;;;;
227.29;473.085.88;505.229.53;;;;;;;;;;
227.30;478.190.02;515.597.97;;;;;;;;;;
227.31;483.397.84;525.966.41;;;;;;;;;;
227.32;488.709.35;536.334.85;;;;;;;;;;
227.33;494.124.54;546.703.30;;;;;;;;;;
227.34;499.643.41;557.071.74;;;;;;;;;;
227.35;505.265.97;567.440.18;;;;;;;;;;
227.36;510.992.22;577.808.62;;;;;;;;;;
227.37;516.822.15;588.177.06;;;;;;;;;;
227.38;522.755.76;598.545.51;;;;;;;;;;
227.39;528.793.06;608.913.95;;;;;;;;;;
227.40;534.934.04;619.282.39;;;;;;;;;;
227.41;541.178.70;629.650.83;;;;;;;;;;
227.42;547.527.06;640.019.27;;;;;;;;;;
227.43;553.979.09;650.387.72;;;;;;;;;;
227.44;560.534.81;660.756.16;;;;;;;;;;
227.45;567.194.21;671.124.60;;;;;;;;;;
227.46;573.957.30;681.493.04;;;;;;;;;;
227.47;580.824.07;691.861.48;;;;;;;;;;
227.48;587.794.53;702.229.92;;;;;;;;;;
227.49;594.868.67;712.598.37;;;;;;;;;;
227.50;602.046.50;722.966.81;;;;;;;;;;
227.51;609.328.01;733.335.25;;;;;;;;;;
227.52;616.713.20;743.703.69;;;;;;;;;;
227.53;624.202.08;754.072.13;;;;;;;;;;
227.54;631.794.65;764.440.58;;;;;;;;;;
227.55;639.490.89;774.809.02;;;;;;;;;;
227.56;647.290.83;785.177.46;;;;;;;;;;
227.57;655.194.44;795.545.90;;;;;;;;;;
227.58;663.201.74;805.914.34;;;;;;;;;;
227.59;671.312.73;816.282.79;;;;;;;;;;
227.60;679.527.40;826.651.23;;;;;;;;;;
227.61;687.845.75;837.019.67;;;;;;;;;;
227.62;696.267.79;847.388.11;;;;;;;;;;
227.63;704.793.52;857.756.55;;;;;;;;;;
227.64;713.422.92;868.124.99;;;;;;;;;;
227.65;722.156.02;878.493.44;;;;;;;;;;
227.66;730.992.79;888.861.88;;;;;;;;;;
227.67;739.933.25;899.230.32;;;;;;;;;;
227.68;748.977.40;909.598.76;;;;;;;;;;
227.69;758.125.23;919.967.20;;;;;;;;;;
227.70;767.376.74;930.335.65;;;;;;;;;;
227.71;776.731.94;940.704.09;;;;;;;;;;
227.72;786.190.83;951.072.53;;;;;;;;;;
227.73;795.753.39;961.440.97;;;;;;;;;;
227.74;805.419.64;971.809.41;;;;;;;;;;
227.75;815.189.58;982.177.86;;;;;;;;;;
227.76;825.063.20;992.546.30;;;;;;;;;;
227.77;835.040.51;1.002.914.74;;;;;;;;;;
227.78;845.121.50;1.013.283.18;;;;;;;;;;
227.79;855.306.17;1.023.651.62;;;;;;;;;;
227.80;865.594.53;1.034.020.07;;;;;;;;;;
227.81;875.986.57;1.044.388.51;;;;;;;;;;
227.82;886.482.30;1.054.756.95;;;;;;;;;;
227.83;897.081.71;1.065.125.39;;;;;;;;;;
227.84;907.784.81;1.075.493.83;;;;;;;;;;
227.85;918.591.59;1.085.862.27;;;;;;;;;;
227.86;929.502.05;1.096.230.72;;;;;;;;;;
227.87;940.516.20;1.106.599.16;;;;;;;;;;
227.88;951.634.04;1.116.967.60;;;;;;;;;;
227.89;962.855.55;1.127.336.04;;;;;;;;;;
227.90;974.180.76;1.137.704.48;;;;;;;;;;
227.91;985.609.64;1.148.072.93;;;;;;;;;;
227.92;997.142.22;1.158.441.37;;;;;;;;;;
227.93;1.008.778.47;1.168.809.81;;;;;;;;;;
227.94;1.020.518.41;1.179.178.25;;;;;;;;;;
227.95;1.032.362.04;1.189.546.69;;;;;;;;;;
227.96;1.044.309.35;1.199.915.14;;;;;;;;;;
227.97;1.056.360.34;1.210.283.58;;;;;;;;;;
227.98;1.068.515.02;1.220.652.02;;;;;;;;;;
227.99;1.080.773.38;1.231.020.46;;;;;;;;;;
228.00;1.093.135.43;1.241.388.90;;;;;;;;;;
228.01;1.105.642.96;1.260.117.38;;;;;;;;;;
228.02;1.118.337.77;1.278.845.86;;;;;;;;;;
228.03;1.131.219.87;1.297.574.33;;;;;;;;;;
228.04;1.144.289.26;1.316.302.81;;;;;;;;;;
228.05;1.157.545.93;1.335.031.29;;;;;;;;;;
228.06;1.170.989.89;1.353.759.76;;;;;;;;;;
228.07;1.184.621.13;1.372.488.24;;;;;;;;;;
228.08;1.198.439.65;1.391.216.71;;;;;;;;;;
228.09;1.212.445.46;1.409.945.19;;;;;;;;;;
228.10;1.226.638.55;1.428.673.67;;;;;;;;;;
228.11;1.241.018.93;1.447.402.14;;;;;;;;;;
228.12;1.255.586.60;1.466.130.62;;;;;;;;;;
228.13;1.270.341.55;1.484.859.10;;;;;;;;;;
228.14;1.285.283.78;1.503.587.57;;;;;;;;;;
228.15;1.300.413.30;1.522.316.05;;;;;;;;;;
228.16;1.315.730.10;1.541.044.53;;;;;;;;;;
228.17;1.331.234.19;1.559.773.00;;;;;;;;;;
228.18;1.346.925.56;1.578.501.48;;;;;;;;;;
228.19;1.362.804.22;1.597.229.96;;;;;;;;;;
228.20;1.378.870.16;1.615.958.43;;;;;;;;;;
228.21;1.395.123.39;1.634.686.91;;;;;;;;;;
228.22;1.411.563.90;1.653.415.38;;;;;;;;;;
228.23;1.428.191.69;1.672.143.86;;;;;;;;;;
228.24;1.445.006.78;1.690.872.34;;;;;;;;;;
228.25;1.462.009.14;1.709.600.81;;;;;;;;;;
228.26;1.479.198.79;1.728.329.29;;;;;;;;;;
228.27;1.496.575.73;1.747.057.77;;;;;;;;;;
228.28;1.514.139.95;1.765.786.24;;;;;;;;;;
228.29;1.531.891.45;1.784.514.72;;;;;;;;;;
228.30;1.549.830.24;1.803.243.20;;;;;;;;;;
228.31;1.567.956.32;1.821.971.67;;;;;;;;;;
228.32;1.586.269.67;1.840.700.15;;;;;;;;;;
228.33;1.604.770.32;1.859.428.63;;;;;;;;;;
228.34;1.623.458.25;1.878.157.10;;;;;;;;;;
228.35;1.642.333.46;1.896.885.58;;;;;;;;;;
228.36;1.661.395.96;1.915.614.06;;;;;;;;;;
228.37;1.680.645.74;1.934.342.53;;;;;;;;;;
228.38;1.700.082.81;1.953.071.01;;;;;;;;;;
228.39;1.719.707.16;1.971.799.48;;;;;;;;;;
228.40;1.739.518.80;1.990.527.96;;;;;;;;;;
228.41;1.759.517.72;2.009.256.44;;;;;;;;;;
228.42;1.779.703.93;2.027.984.91;;;;;;;;;;
228.43;1.800.077.42;2.046.713.39;;;;;;;;;;
228.44;1.820.638.20;2.065.441.87;;;;;;;;;;
228.45;1.841.386.26;2.084.170.34;;;;;;;;;;
228.46;1.862.321.60;2.102.898.82;;;;;;;;;;
228.47;1.883.444.23;2.121.627.30;;;;;;;;;;
228.48;1.904.754.15;2.140.355.77;;;;;;;;;;
228.49;1.926.251.35;2.159.084.25;;;;;;;;;;
228.50;1.947.935.83;2.177.812.73;;;;;;;;;;
228.51;1.969.807.60;2.196.541.20;;;;;;;;;;
228.52;1.991.866.66;2.215.269.68;;;;;;;;;;
228.53;2.014.113.00;2.233.998.15;;;;;;;;;;
228.54;2.036.546.62;2.252.726.63;;;;;;;;;;
228.55;2.059.167.53;2.271.455.11;;;;;;;;;;
228.56;2.081.975.72;2.290.183.58;;;;;;;;;;
